requirement_id,phase,scope_disposition,required_test_ids,evidence_limit
ARC-008,Phase 1·2,PARTIAL_SLICE,DQ-P1-SCAN-001;DQ-P1-MAP-008;DQ-P1-ROUTE-003;DQ-P1-ROUTE-009;DQ-P1-LONG-001;DQ-P1-LONG-006;DQ-P1-LDB-001;DQ-P1-LDB-004;DQ-P1-LDB-008;DQ-P1-KOQC-005;DQ-P1-MASTER-008;DQ-P1-DSTAT-010;DQ-P1-LONGUI-004;DQ-P2-BULKFINAL-001;DQ-P2-BULKFINAL-002,"canonical intake and explicit batch finalization reach persistent PENDING/HELD Long rows from a one-time prepared scan without reopening Excel; later analytics reuse remains incomplete"
ING-001,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-SCAN-001,"all workbook sheets scanned"
ING-002,Phase 1,PARTIAL_SLICE,DQ-P1-SCAN-001;DQ-P1-MAP-008;DQ-P1-MAP-009;DQ-P1-LDB-001;DQ-P1-LDB-002;DQ-P1-KOQC-001,"all-sheet evidence and every configured row/sample of the Korean synthetic baseline are collected; full automatic parsing and Golden loading remain incomplete"
ING-029,Phase 1,PARTIAL_SLICE,DQ-P1-SCAN-004;DQ-P1-MAP-001;DQ-P1-LONG-001;DQ-P1-LONG-005;DQ-P1-LDB-001;DQ-P1-LDB-002,"stored/formula/cached/number-format evidence persists without cache trust; rendered display resolver still required"
ING-031,Phase 1,PARTIAL_SLICE,DQ-P1-SCAN-002;DQ-P1-MAP-004,"structure mismatch fails closed; deterministic row semantic classification remains incomplete"
ING-032,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-SCAN-002,"hidden sheets/rows/columns included"
ING-034,Phase 1,PARTIAL_SLICE,DQ-P1-SCAN-003;DQ-P1-MAP-005;DQ-P1-MAP-006;DQ-P1-LONG-001;DQ-P1-LONG-005;DQ-P1-LDB-001;DQ-P1-LDB-002;DQ-P1-LDB-007,"source roles and supplier claims stay separate in pending persistence and DB constraints prohibit system judgment; official semantic classification remains incomplete"
ING-035,Phase 1,PARTIAL_SLICE,DQ-P1-SCAN-003;DQ-P1-SCAN-006;DQ-P1-MAP-001;DQ-P1-LONG-005;DQ-P1-LDB-002,"actual external/broken reference warnings persist at exact cells, plain text mentions do not create false formula warnings, and cached formula values are not trusted; refresh workflow remains future work"
ING-037,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-SCAN-005,"protection is observed without bypass"
ING-038,Phase 1,PARTIAL_SLICE,DQ-P1-SCAN-005;DQ-P1-MAP-004,"package and mapped-cell failures are explicit; every corrupt part cannot yet be resolved to a business range"
ING-046,Phase 1·2,RAW_PRESERVATION,DQ-P1-FSTORE-001;DQ-P1-FSTORE-004;DQ-P1-ROUTE-002;DQ-P1-ROUTE-004;DQ-P1-ROUTE-005;DQ-P1-ROUTE-008;DQ-P1-LDB-006;DQ-P1-UIINTAKE-001;DQ-P1-UIINTAKE-004;DQ-P1-UIINTAKE-007;DQ-P2-BULK-001;DQ-P2-BULK-004;DQ-P2-BULK-006;DQ-P2-BULK-009;DQ-P2-BULKUI-004,"original source and distinct receipt history survive local single and multi-file intake, scan/Mapping holds, duplicate classification, restart, and safe rejection without modifying the source"
ING-047,Phase 1·2,SOURCE_TRACEABILITY,DQ-P1-FSTORE-002;DQ-P1-ROUTE-003;DQ-P1-LONG-001;DQ-P1-LONG-004;DQ-P1-LONG-006;DQ-P1-LDB-001;DQ-P1-LDB-007;DQ-P1-MAPV2-005;DQ-P1-MAPV2-007;DQ-P1-UIINTAKE-001;DQ-P1-UIINTAKE-007;DQ-P2-BULK-001;DQ-P2-BULK-002;DQ-P2-BULK-006;DQ-P2-BULKUI-001;DQ-P2-HIST-002;DQ-P2-HIST-003,"receipt, source Cell/raw evidence, Mapping/Binding, applied Master, candidate and decision proof remain visible in bounded historical comparison"
ING-049,Phase 1,PARTIAL_SLICE,DQ-P1-ROUTE-001;DQ-P1-ROUTE-003;DQ-P1-UIINTAKE-001;DQ-P1-UIINTAKE-006;DQ-P1-UIINTAKE-007,"Korean local UI and restartable asynchronous API support canonical manual single-file intake; the process-local job screen is transient and historical bulk import remains Phase 2"
ARC-022,Phase 0·1,PARTIAL_OPTIONAL_EXTENSION,DQ-P0-SCOPE-001;DQ-P1-WINPKG-001;DQ-P1-WINPKG-003;DQ-P1-WINPKG-006,"an opt-in current-user local package exists without registry/autostart/service/Scheduler mutation; Scheduler discovery remains Phase 5"
ARC-023,Phase 0·1,PARTIAL_EXTENSION_LIFECYCLE,DQ-P0-BOOT-001;DQ-P1-WINPKG-003;DQ-P1-WINPKG-004;DQ-P1-WINPKG-005,"code and data roots are disjoint and install/update/remove preserve data with rollback; fully offline embedded runtime is not included"
ARC-024,Phase 5,DEFERRED_BY_PHASE,,"real Scheduler/Outlook contract required"
ARC-025,Phase 1,RESOLVED_ROUTE_CONSUMER,DQ-P1-ROUTE-001;DQ-P1-ROUTE-006,"resolved project/supplier scope is consumed fail-closed; workbook-driven project inference remains incomplete"
ARC-026,Phase 1·2,PARTIAL_PROJECT_ISOLATION,DQ-P1-FSTORE-006;DQ-P1-ROUTE-001;DQ-P1-ROUTE-003;DQ-P1-ROUTE-006;DQ-P1-ROUTE-009;DQ-P1-MAP-007;DQ-P1-MAP-010;DQ-P1-LONG-004;DQ-P1-LONG-006;DQ-P1-LDB-003;DQ-P1-LDB-005;DQ-P1-LDB-007;DQ-P1-UIINTAKE-003;DQ-P1-UIINTAKE-007;DQ-P1-LONGUI-005;DQ-P2-BULKFINAL-004;DQ-P2-HIST-001,"project File Store, Mapping, Long, batch finalization, and historical comparison remain project-scoped and fail closed on stale or cross-scope evidence"
ARC-027,Phase 5,DEFERRED_BY_PHASE,DQ-P1-AIMAP-012,"negative framework test records Qwen3.5-33B as runtime-unverified and proves endpoint/key absence; real shared profile/Secret Store contract remains required"
ARC-028,Phase 1·5,PARTIAL_PACKAGE_COMPATIBILITY,DQ-P1-WINPKG-002;DQ-P1-WINPKG-004;DQ-P1-WINPKG-005;DQ-P1-WINPKG-006,"extension ID, DQ version, contract major, package hashes, and rollback are enforced; Scheduler version/discovery remain UNVERIFIED and BLOCKED_BY_INPUT"
GOV-013,Phase 1,BLOCKED_BY_INPUT,,"requires representative workbook and user sign-off"
ING-051,Phase 1,BLOCKED_BY_INPUT,,"requires representative workbook and approved criteria"
ING-052,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-FSTORE-003;DQ-P1-UIINTAKE-002;DQ-P1-UIINTAKE-007,"local HTTP intake and File Store reject extension/MIME/OOXML type/size mismatches with no partial staging or Blob residue"
ING-053,Phase 1·2,DUPLICATE_HISTORY,DQ-P1-FSTORE-005;DQ-P1-ROUTE-007;DQ-P1-LDB-005;DQ-P2-BULK-001;DQ-P2-BULK-006,"same-hash blobs retain distinct receipts and Bulk entries; exact-byte and same-LOT retest candidates are linked but never silently discarded or promoted"
ARC-029,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-FSTORE-001;DQ-P1-FSTORE-006;DQ-P1-UIINTAKE-002;DQ-P1-UIINTAKE-003;DQ-P1-UIINTAKE-004;DQ-P1-MAPUI-003;DQ-P1-MAPUI-008,"project file/job/receipt isolation, safe basenames, path redaction, traversal rejection, and exact receipt/scope/cell validation"
ARC-030,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-FSTORE-004;DQ-P1-ROUTE-002;DQ-P1-ROUTE-004;DQ-P1-ROUTE-005;DQ-P1-ROUTE-008;DQ-P1-LDB-006;DQ-P1-LDB-007;DQ-P1-UIINTAKE-004;DQ-P1-UIINTAKE-007,"raw preservation remains outside upload staging, scan, Mapping, and Long materialization rollback; held evidence is not discarded"
GOV-005,Phase 1·2,PARTIAL_EVIDENCE_UI,DQ-P1-MAP-001;DQ-P1-ROUTE-003;DQ-P1-LONG-001;DQ-P1-LONG-004;DQ-P1-AIMAP-002;DQ-P1-AIMAP-011;DQ-P1-DSTAT-001;DQ-P1-DSTAT-005;DQ-P1-DSTAT-006;DQ-P1-UIINTAKE-001;DQ-P1-UIINTAKE-005;DQ-P1-UIINTAKE-007;DQ-P1-MAPUI-001;DQ-P1-MAPUI-004;DQ-P1-MAPUI-005;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007;DQ-P1-LONGUI-001;DQ-P1-DSTATUI-001;DQ-P2-BULKFINALUI-001;DQ-P2-BULKFINALUI-002;DQ-P2-BULKFINALUI-003;DQ-P2-HISTUI-001;DQ-P2-HISTUI-002;DQ-P2-REPLUI-001;DQ-P2-REPLUI-002,"the Korean UI displays exact source, Mapping, Long, decision, batch-finalization, historical, and paired-replacement evidence; Golden user acceptance remains incomplete"
ARC-014,Phase 1,PARTIAL_OFFLINE_AI_MAPPING,DQ-P1-AIMAP-001;DQ-P1-AIMAP-002;DQ-P1-AIMAP-003;DQ-P1-AIMAP-008;DQ-P1-MAPUI-001,"the manual exact-cell Mapping review path remains available without AI; bounded provider-neutral hints and live model acceptance remain separate"
ARC-015,Phase 1,PARTIAL_DETERMINISTIC_JUDGMENT,DQ-P1-MAP-005;DQ-P1-LONG-005;DQ-P1-LDB-007;DQ-P1-AIMAP-005;DQ-P1-AIMAP-006;DQ-P1-MAPV2-007;DQ-P1-MASTER-010;DQ-P1-DSTAT-001;DQ-P1-DSTAT-002;DQ-P1-DSTAT-003,"approved numeric Master limits are compared by deterministic code while AI, supplier judgment, and data trust remain separate; statistics and later rule engines are absent"
ARC-016,Phase 1,PARTIAL_AI_RESILIENCE,DQ-P1-AIMAP-004;DQ-P1-AIMAP-010;DQ-P1-MAPUI-001;DQ-P1-MAPUI-004,"receipt replay and approved/manual Mapping Preview operate with AI NOT_CALLED; live provider resilience is unverified"
CFG-004,Phase 1,PARTIAL_MASTER_SEPARATION,DQ-P1-MAP-005;DQ-P1-LONG-005;DQ-P1-LDB-001;DQ-P1-LDB-007;DQ-P1-AIMAP-005;DQ-P1-MAPV2-003;DQ-P1-MAPV2-007;DQ-P1-MASTER-003;DQ-P1-MASTER-010;DQ-P1-DSTAT-001;DQ-P1-DSTAT-002;DQ-P1-DSTATUI-002,"supplier-stated specification remains immutable evidence while the UI separates approved-Master PASS/FAIL comparison from data trust; no source-to-Master auto-copy exists"
CFG-011,Phase 1,PARTIAL_MAPPING_V2,DQ-P1-MAPV2-002,"Mapping schema v2 preserves source cells for part name, production date, and current/cumulative shipment quantities; actual required-field configuration and Golden acceptance remain incomplete"
ING-008,Phase 1,PARTIAL_MAPPING_PREVIEW,DQ-P1-MAP-004;DQ-P1-ROUTE-005;DQ-P1-AIMAP-007,"five Korean synthetic scenarios expose same-format, changed, ambiguous, and error structures; full target classification is not implemented"
ING-009,Phase 1,PARTIAL_MAPPING_PREVIEW,DQ-P1-MAP-001;DQ-P1-ROUTE-003;DQ-P1-AIMAP-002;DQ-P1-MAPUI-001;DQ-P1-MAPUI-005,"the Korean UI exposes paged exact source cells and persists a server-validated schema-v2 first Mapping Draft from explicit role selections"
ING-010,Phase 1,PARTIAL_MAPPING_PREVIEW,DQ-P1-MAP-001;DQ-P1-MAP-002;DQ-P1-MAP-011;DQ-P1-MAP-013;DQ-P1-ROUTE-003;DQ-P1-AIMAP-006;DQ-P1-MAPUI-005;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007;DQ-P1-MAPUI-009,"the local UI requires an explicit Draft, separate Reviewer action, and separate Admin approval; direct or forged approval is rejected, while Golden user confirmation remains incomplete"
ING-011,Phase 1,PARTIAL_MAPPING_PREVIEW,DQ-P1-MAP-003;DQ-P1-MAP-008;DQ-P1-MAP-010;DQ-P1-MAP-012;DQ-P1-ROUTE-003;DQ-P1-ROUTE-007;DQ-P1-ROUTE-009;DQ-P1-LDB-001;DQ-P1-LDB-003;DQ-P1-LDB-004;DQ-P1-KOQC-002;DQ-P1-MAPV2-001;DQ-P1-MAPV2-004;DQ-P1-MAPUI-002;DQ-P1-MAPUI-004;DQ-P1-MAPUI-007,"a durable receipt can be rescanned after restart, and Admin approval reloads a fresh persistent catalog to produce the exact same-source UI Preview; real representative acceptance remains incomplete"
ING-012,Phase 1,PERSISTENT_MAPPING_FRAMEWORK,DQ-P1-MAP-002;DQ-P1-MAP-010;DQ-P1-MAP-011;DQ-P1-MAP-012;DQ-P1-MAP-014;DQ-P1-MAP-015;DQ-P1-MAPUI-005;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007,"immutable Mapping payload revisions, workflow decisions, effectivity, optimistic locking, and Audit now have a local UI command path; later revision editing and production authentication remain future work"
ING-015,Phase 1·2,PARTIAL_VARIATION_CLASSIFICATION,DQ-P1-MAP-004;DQ-P1-LONG-004;DQ-P1-KOQC-004;DQ-P2-BULK-003;DQ-P2-BULK-007;DQ-P2-BULKUI-002,"bounded item/spec/method/sample/judgment/shipment/date/revision/part/structure differences are separated for review; actual Golden classification remains incomplete"
ING-018,Phase 1·2,FAIL_CLOSED_MAPPING_REUSE,DQ-P1-MAP-004;DQ-P1-ROUTE-005;DQ-P1-ROUTE-006;DQ-P1-AIMAP-003;DQ-P1-AIMAP-007;DQ-P1-KOQC-003;DQ-P1-MAPUI-003;DQ-P1-MAPUI-008;DQ-P2-BULK-002;DQ-P2-BULK-003,"Bulk reuses only an approved exact fingerprint; changed or missing layouts stay review-required and never force the old Template"
ING-019,Phase 1,PARTIAL_MAPPING_PREVIEW,DQ-P1-MAP-004;DQ-P1-ROUTE-005;DQ-P1-AIMAP-009,"AI confidence is display-only; partial, unresolved, warning-only, and no-candidate responses remain human-review holds"
ING-024,Phase 1,PARTIAL_CANONICAL_BINDING,DQ-P1-MAP-008;DQ-P1-LONG-001;DQ-P1-LONG-003;DQ-P1-AIMAP-002;DQ-P1-MASTER-001;DQ-P1-MASTER-006;DQ-P1-LONGUI-002;DQ-P1-CFGUI-009,"user-approved supplier-scoped exact row bindings persist, reload after restart, and make matching Long rows loadable; fuzzy or automatic binding and Golden acceptance remain incomplete"
ING-025,Phase 1,PARTIAL_CANONICAL_BINDING,DQ-P1-MAP-006;DQ-P1-LONG-001;DQ-P1-LONG-003;DQ-P1-AIMAP-003;DQ-P1-MAPV2-003;DQ-P1-MAPV2-006;DQ-P1-MASTER-006,"method, unit, point, location, cavity, and source-row evidence remain distinct and exact versioned bindings do not auto-merge same-name rows"
ING-020,Phase 1,PARTIAL_LONG_CANDIDATE,DQ-P1-LONG-001;DQ-P1-LONG-004;DQ-P1-MAPV2-002,"internal workbook model, part name/number, production date, shipment, and revision evidence is preserved; full canonical identification and Golden acceptance are incomplete"
ING-021,Phase 1,PARTIAL_LONG_CANDIDATE,DQ-P1-LONG-004,"preserved intake candidates are auxiliary and never override internal workbook MODEL/LOT evidence; mail subject integration is Phase 5"
ING-022,Phase 1,PARTIAL_LONG_CANDIDATE,DQ-P1-LONG-004,"exact internal MODEL/LOT versus receipt-candidate conflicts are exposed and globally held; mail-subject evidence remains deferred"
ING-028,Phase 1,NEGATIVE_LONG_BOUNDARY,DQ-P1-LONG-005;DQ-P1-LDB-007;DQ-P1-MAPV2-006;DQ-P1-MAPV2-007;DQ-P1-DSTAT-005,"source unit evidence persists and missing, whitespace, alias, or unequal units prevent evaluation and VALID; configured conversion itself is not implemented"
ING-044,Phase 1·2,PARTIAL_IDENTIFIER_HOLD,DQ-P1-LONG-004;DQ-P1-LDB-007;DQ-P2-BULK-005;DQ-P2-BULK-007,"model/LOT/date/revision conflicts remain typed review holds and are never selected implicitly; complete company conflict policy remains input-dependent"
ING-045,Phase 1·2,PARTIAL_FILE_ISOLATION,DQ-P1-LONG-002;DQ-P1-LONG-003;DQ-P1-LDB-002;DQ-P1-DSTAT-006;DQ-P1-LONGUI-003;DQ-P2-BULK-005;DQ-P2-BULKFINAL-003,"one held or exceptional file does not discard eligible siblings; batch-wide confirmation materializes only the immutable eligible set"
CFG-001,Phase 1,PARTIAL_PROJECT_MODEL_STORE,DQ-P1-LONG-004;DQ-P1-LONG-006;DQ-P1-LDB-005;DQ-P1-LDB-007;DQ-P1-MASTER-001;DQ-P1-CFGUI-001;DQ-P1-CFGUI-002,"the Korean setup UI creates and lists project-scoped canonical Model, ModelPart, Item, and Supplier identities without defaults; separate physical databases and actual company Master content remain external"
CFG-002,Phase 1,PARTIAL_MASTER_HIERARCHY,DQ-P1-LONG-001;DQ-P1-LONG-003;DQ-P1-LDB-001;DQ-P1-LDB-003;DQ-P1-MASTER-001;DQ-P1-MASTER-006,"project-scoped Model to ModelPart to InspectionItem hierarchy and versioned exact row binding persist; actual company Master identities remain input-dependent"
CFG-017,Phase 1,PARTIAL_ITEM_DECISION_BOUNDARY,DQ-P1-LDB-003;DQ-P1-LDB-007;DQ-P1-AIMAP-009;DQ-P1-MASTER-002;DQ-P1-MASTER-006;DQ-P1-MASTER-010;DQ-P1-DSTAT-006;DQ-P1-DSTATUI-004;DQ-P1-CFGUI-003,"new items remain CANDIDATE until an explicit CAS-protected MANAGED/EXCLUDED decision; held items remain visibly ineligible and no automatic VALID promotion exists"
ING-023,Phase 1,PARTIAL_SUPPLIER_SCOPED_BINDING,DQ-P1-MASTER-001;DQ-P1-MASTER-005;DQ-P1-MASTER-006;DQ-P1-CFGUI-007,"the Korean setup UI creates a provenance-bound first binding from one approved Mapping row to a canonical supplier/model-part/item hierarchy; a dedicated supplier part-name alias catalog remains incomplete"
CFG-003,Phase 1,PARTIAL_SUPPLIER_AXIS,DQ-P1-MASTER-001,"Supplier is persisted as an independent project-scoped comparison axis and is not a Model-Part-Item parent; later comparison and evaluation behavior is not implemented"
CFG-005,Phase 1,PARTIAL_NUMERIC_MASTER_SPEC,DQ-P1-MASTER-003;DQ-P1-MASTER-004;DQ-P1-MASTER-007;DQ-P1-DSTAT-001;DQ-P1-DSTAT-007;DQ-P1-CFGUI-004,"the setup UI preserves user-entered exact Decimal limits, unit, revision source, effectivity, and reason in a first immutable Draft; actual company values and qualitative rules are external"
CFG-006,Phase 1,PARTIAL_MASTER_APPROVAL,DQ-P1-MASTER-003;DQ-P1-MASTER-004;DQ-P1-MASTER-010;DQ-P1-CFGUI-005,"the Korean setup UI keeps Master Draft review separate and rejects direct Draft approval; supplier evidence cannot change Master automatically"
CFG-007,Phase 1·2,PARTIAL_EFFECTIVE_MASTER_HISTORY,DQ-P1-MASTER-004;DQ-P1-MASTER-007;DQ-P1-DSTAT-007;DQ-P1-CFGUI-006;DQ-P2-HIST-003,"the historical view preserves the Master revision and period used by the original decision; current-Master re-evaluation remains absent"
CFG-009,Phase 1·2,PARTIAL_EFFECTIVE_MASTER_HISTORY,DQ-P1-MASTER-004;DQ-P1-MASTER-007;DQ-P1-DSTAT-007;DQ-P2-HIST-002;DQ-P2-HIST-003,"predecessor and successor Mapping/Master periods and applied decision evidence remain distinguishable; revision-segmented statistics are not implemented"
CFG-016,Phase 1,PARTIAL_ITEM_DISPOSITION,DQ-P1-MASTER-002;DQ-P1-MASTER-006;DQ-P1-MASTER-010;DQ-P1-DSTAT-006;DQ-P1-CFGUI-002;DQ-P1-CFGUI-003,"the setup UI creates independent Supplier and Item identities and requires explicit disposition; CANDIDATE is ineligible, MANAGED can be evaluated, and EXCLUDED stays explicit"
ING-041,Phase 1·2,PARTIAL_EXPLICIT_DATA_REVIEW,DQ-P1-DSTAT-002;DQ-P1-DSTAT-003;DQ-P1-DSTAT-004;DQ-P1-DSTAT-008;DQ-P1-DSTAT-009;DQ-P1-DSTATUI-003;DQ-P2-BULK-007;DQ-P2-BULKUI-002;DQ-P2-BULKFINAL-002;DQ-P2-REPL-001;DQ-P2-REPL-003;DQ-P2-REPL-004;DQ-P2-REPL-006;DQ-P2-REPLUI-002,"explicit batch confirmation still creates PENDING/HELD Long rows only; a separate confirmed ADMIN pair command may replace one eligible result with one reviewed PENDING successor, and no automatic VALID or REPLACED transition exists"
ANA-011,Phase 1,FOUNDATION_VALID_ONLY_SELECTOR,DQ-P1-DSTAT-010,"the official selector requires both inspection result and measurement to be VALID; Control Limit calculation remains Phase 4"
ING-013,Phase 2,PARTIAL_DURABLE_BULK,DQ-P2-BULK-001;DQ-P2-BULK-002;DQ-P2-BULK-010;DQ-P2-BULKUI-001;DQ-P2-BULKUI-003,"a selected multi-file batch can reuse one approved representative Mapping and persist a project-scoped restart-safe review summary on migration 0006; actual representative historical files remain BLOCKED_BY_INPUT"
ING-014,Phase 2,EXCEPTION_ONLY_BULK_REVIEW,DQ-P2-BULK-003;DQ-P2-BULK-005;DQ-P2-BULK-007;DQ-P2-BULKUI-002;DQ-P2-BULKFINAL-003,"candidate-ready files have no individual approval action; typed exceptions are excluded with proof while eligible siblings continue in one batch-wide command"
ING-016,Phase 2,PARTIAL_EXPLICIT_BULK_FINALIZATION,DQ-P2-BULK-001;DQ-P2-BULKUI-001;DQ-P2-BULKUI-002;DQ-P2-BULKFINAL-001;DQ-P2-BULKFINAL-002;DQ-P2-BULKFINALUI-001;DQ-P2-BULKFINALUI-002;DQ-P2-BULKFINALUI-003,"the user can explicitly confirm the immutable eligible set and materialize it as PENDING/HELD; excluded exceptions and missing Golden evidence keep the initial database Gate incomplete"
ARC-021,Phase 2·8,FOUNDATION_ONLY,DQ-P2-HIST-004,"on-demand comparison returns bounded stored evidence and lightweight revision/count deltas without persisting duplicate statistics snapshots"
UIX-028,Phase 2·3·8,FOUNDATION_ONLY,DQ-P2-HIST-001;DQ-P2-HIST-002;DQ-P2-HIST-003;DQ-P2-HIST-004;DQ-P2-HISTUI-001;DQ-P2-HISTUI-002,"two explicit date windows are compared only on user request; this foundation shows raw provenance and structural deltas but performs no trend or statistical analysis"
ING-017,Phase 2,PARTIAL_SELECTED_BATCH_REUSE,DQ-P2-BULK-002;DQ-P2-BULK-009,"approved Mapping is reused across a selected durable local batch; Cloud Scheduler queue backlog application remains Phase 5"
ING-039,Phase 2,PARTIAL_DUPLICATE_REVISION_CLASSIFICATION,DQ-P2-BULK-006;DQ-P2-BULK-007;DQ-P2-REPL-002;DQ-P2-REPL-003,"same-LOT exact bytes, same-evidence retest containers, and changed-evidence revision candidates are separated; an exact same-identity correction can be proposed for explicit paired review but is never replaced automatically"
ING-040,Phase 2,PARTIAL_CONTENT_REVISION_DETECTION,DQ-P2-BULK-007;DQ-P2-REPL-002,"same supplier/model/part/LOT evidence changes are detected from source content rather than filename, with bounded exact field and full measurement-set digest evidence"
ING-042,Phase 2,PARTIAL_EXPLICIT_REPLACED_CHAIN,DQ-P2-BULK-007;DQ-P2-BULKUI-002;DQ-P2-REPL-003;DQ-P2-REPL-004;DQ-P2-REPL-005;DQ-P2-REPL-007;DQ-P2-REPL-009;DQ-P2-REPL-010;DQ-P2-REPLUI-001,"Bulk revision candidates remain review-only; a separate audited ADMIN pair command creates a bounded REPLACED -> VALID result chain with replay protection, while automatic selection and official statistics remain absent"
ING-043,Phase 2,PARTIAL_HIGH_RISK_DIFF_SIGNAL,DQ-P2-BULK-007;DQ-P2-BULKUI-002;DQ-P2-REPL-002;DQ-P2-REPLUI-001;DQ-P2-REPLUI-002,"exact NG/FAIL-to-PASS corrections are flagged as high risk; tolerance, sample, and source changes remain CHANGED and NOT_EVALUABLE, and no broader company risk policy is inferred"
