requirement_id,implementation_status,code_reference,test_reference,acceptance_evidence,notes,last_updated
ARC-007,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/application/bulk_finalization.py; backend/app/infrastructure/bulk_import.py; backend/app/infrastructure/bulk_finalization.py; backend/app/api/bulk_finalization.py; backend/app/application/result_replacement.py; backend/app/infrastructure/result_replacement.py; backend/migrations/versions/0007_persist_bulk_finalization.py; backend/migrations/versions/0008_persist_result_replacement_chain.py",DQ-P1-LDB-004;DQ-P1-LDB-005;DQ-P2-BULK-008;DQ-P2-BULK-009;DQ-P2-BULKFINAL-005;DQ-P2-BULKFINAL-006;DQ-P2-REPL-007,reports/gates/PHASE_2_GATE_REPORT.md,"Durable Bulk, batch-finalization, and result-replacement flows support idempotent replay, bounded recovery, and restart; replacement replay rejects branch, merge, and cycle attempts, while Scheduler queue retry remains Phase 5.",2026-08-16
ARC-008,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/application/bulk_finalization.py; backend/app/application/long_workflow.py; backend/app/infrastructure/long_format.py; backend/migrations/versions/0007_persist_bulk_finalization.py",DQ-P1-LONG-006;DQ-P1-LDB-001;DQ-P1-LONGUI-004;DQ-P2-BULKFINAL-001;DQ-P2-BULKFINAL-002,reports/gates/PHASE_2_GATE_REPORT.md,"Initial Bulk scan persists an authenticated prepared Long basis and explicit finalization materializes PENDING/HELD without reopening Excel; later analytics reuse remains incomplete.",2026-08-16
ARC-017,IMPLEMENTED,"backend/app/infrastructure/file_store/original.py; backend/app/infrastructure/excel/workbook_scanner.py",DQ-P1-FSTORE-001;DQ-P1-SCAN-001,reports/gates/PHASE_1_GATE_REPORT.md,"Source and stored original are opened read-only and hash-checked before/after processing.",2026-08-15
ARC-018,IMPLEMENTED,backend/app/infrastructure/excel/workbook_scanner.py,DQ-P1-SCAN-005,reports/gates/PHASE_1_GATE_REPORT.md,"openpyxl is invoked with keep_vba=False; macro-capable inputs are warning-only and never executed.",2026-08-15
ARC-019,IMPLEMENTED,"backend/app/domain/workbook_scan.py; backend/app/infrastructure/excel/workbook_scanner.py",DQ-P1-SCAN-005,reports/gates/PHASE_1_GATE_REPORT.md,"Only anchor/size/format metadata is returned; bytes and analysis flags remain false.",2026-08-15
ARC-027,DEFERRED_BY_PHASE,"backend/app/domain/ai_mapping.py; docs/adr/0003-offline-ai-mapping-candidate-boundary.md",DQ-P1-AIMAP-012,reports/gates/PHASE_1_GATE_REPORT.md,"The offline contract records Qwen3.5-33B as runtime-unverified and contains no endpoint/key; shared Scheduler profile and Secret Store handoff remain Phase 5.",2026-08-15
ING-001,IMPLEMENTED,backend/app/infrastructure/excel/workbook_scanner.py,DQ-P1-SCAN-001,reports/gates/PHASE_1_GATE_REPORT.md,"Visible, hidden, veryHidden and chart sheets are discovered without user range selection.",2026-08-15
ING-002,IN_PROGRESS,"backend/app/infrastructure/excel/workbook_scanner.py; backend/app/domain/mapping.py; backend/app/application/mapping_preview.py; backend/app/application/long_persistence.py; backend/app/infrastructure/long_format.py; backend/tests/test_korean_oqc_data_engine.py",DQ-P1-SCAN-001;DQ-P1-MAP-008;DQ-P1-MAP-009;DQ-P1-LDB-001;DQ-P1-LDB-002;DQ-P1-KOQC-001,reports/gates/PHASE_1_GATE_REPORT.md,"All sheets plus six configured rows and 48 sample cells are collected from the Korean synthetic baseline; full automatic parsing and Golden loading remain incomplete.",2026-08-15
ING-029,IN_PROGRESS,"backend/app/domain/workbook_scan.py; backend/app/infrastructure/excel/workbook_scanner.py; backend/app/domain/mapping.py; backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/infrastructure/long_format.py",DQ-P1-SCAN-004;DQ-P1-MAP-001;DQ-P1-LONG-001;DQ-P1-LONG-005;DQ-P1-LDB-001;DQ-P1-LDB-002,reports/gates/PHASE_1_GATE_REPORT.md,"Stored value, cache, formula, number format and display status persist without cache trust; true Excel rendered display text remains NOT_RENDERED.",2026-08-15
ING-031,IN_PROGRESS,"backend/app/infrastructure/excel/workbook_scanner.py; backend/app/application/mapping_preview.py",DQ-P1-SCAN-002;DQ-P1-MAP-004,reports/gates/PHASE_1_GATE_REPORT.md,"Structural changes fail closed; full deterministic row semantic classification remains incomplete.",2026-08-15
ING-032,IMPLEMENTED,backend/app/infrastructure/excel/workbook_scanner.py,DQ-P1-SCAN-002,reports/gates/PHASE_1_GATE_REPORT.md,"Hidden sheet states and hidden row/column ranges are included in scan evidence.",2026-08-15
ING-034,IN_PROGRESS,"backend/app/infrastructure/excel/workbook_scanner.py; backend/app/domain/mapping.py; backend/app/application/mapping_preview.py; backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/infrastructure/long_format.py",DQ-P1-SCAN-003;DQ-P1-MAP-005;DQ-P1-MAP-006;DQ-P1-LONG-001;DQ-P1-LONG-005;DQ-P1-LDB-001;DQ-P1-LDB-002;DQ-P1-LDB-007,reports/gates/PHASE_1_GATE_REPORT.md,"Mapped source roles and supplier claims persist separately, while DB constraints prohibit system judgment; official semantic classification remains incomplete.",2026-08-15
ING-035,IN_PROGRESS,"backend/app/infrastructure/excel/workbook_scanner.py; backend/app/application/mapping_preview.py; backend/app/application/long_candidate.py; backend/app/infrastructure/long_format.py",DQ-P1-SCAN-003;DQ-P1-SCAN-006;DQ-P1-MAP-001;DQ-P1-LONG-005;DQ-P1-LDB-002,reports/gates/PHASE_1_GATE_REPORT.md,"Actual external/broken/missing-cache warnings persist at exact cells, plain-text #REF! mentions stay text, and formula caches are never projected as raw measurements; refresh workflow remains future work.",2026-08-15
ING-037,IMPLEMENTED,backend/app/infrastructure/excel/workbook_scanner.py,DQ-P1-SCAN-005,reports/gates/PHASE_1_GATE_REPORT.md,"Protection metadata is observed without password collection, unlock, or bypass.",2026-08-15
ING-038,IN_PROGRESS,"backend/app/infrastructure/excel/workbook_scanner.py; backend/app/application/mapping_preview.py",DQ-P1-SCAN-005;DQ-P1-MAP-004,reports/gates/PHASE_1_GATE_REPORT.md,"Workbook/package and mapped-cell failures are explicit; every corrupt worksheet part is not yet mapped to a business Sheet name and range.",2026-08-15
ING-046,IMPLEMENTED,"backend/app/infrastructure/file_store/original.py; backend/app/application/manual_ingestion.py; backend/app/application/bulk_import.py; backend/app/infrastructure/bulk_import.py; backend/app/api/bulk.py; frontend/src/BulkWorkspacePanel.tsx",DQ-P1-FSTORE-001;DQ-P1-FSTORE-004;DQ-P1-ROUTE-002;DQ-P1-ROUTE-004;DQ-P1-ROUTE-005;DQ-P1-ROUTE-008;DQ-P1-LDB-006;DQ-P1-UIINTAKE-001;DQ-P1-UIINTAKE-004;DQ-P1-UIINTAKE-007;DQ-P2-BULK-001;DQ-P2-BULK-004;DQ-P2-BULK-006;DQ-P2-BULK-009;DQ-P2-BULKUI-004,reports/gates/PHASE_2_GATE_REPORT.md,"Read-only originals and distinct receipt history survive multi-file staging, scan/Mapping holds, duplicate classification, retry, restart, and safe rejection.",2026-08-15
ING-047,IMPLEMENTED,"backend/app/infrastructure/long_format.py; backend/app/application/bulk_import.py; backend/app/application/historical_comparison.py; backend/app/api/historical_comparison.py; frontend/src/HistoricalWorkspacePanel.tsx",DQ-P1-FSTORE-002;DQ-P1-LONG-001;DQ-P1-LDB-007;DQ-P1-MAPV2-005;DQ-P2-BULK-001;DQ-P2-BULK-002;DQ-P2-HIST-002;DQ-P2-HIST-003,reports/gates/PHASE_2_GATE_REPORT.md,"Receipt, source Cell/raw evidence, Mapping/Binding, applied Master, candidate, and decision proof remain bounded and traceable through historical comparison.",2026-08-16
ING-049,IN_PROGRESS,"backend/app/application/manual_ingestion.py; backend/app/application/store_scan_mapping.py; backend/app/application/intake_jobs.py; backend/app/api/intake.py; backend/app/main.py; frontend/src/App.tsx",DQ-P1-ROUTE-001;DQ-P1-ROUTE-003;DQ-P1-UIINTAKE-001;DQ-P1-UIINTAKE-006;DQ-P1-UIINTAKE-007,reports/gates/PHASE_1_GATE_REPORT.md,"Korean local UI and restartable asynchronous API support canonical manual single-file intake; the job screen is process-local and historical bulk registration remains Phase 2.",2026-08-15
GOV-005,IN_PROGRESS,"backend/app/api/bulk_finalization.py; backend/app/api/historical_comparison.py; backend/app/api/result_replacement.py; frontend/src/BulkWorkspacePanel.tsx; frontend/src/HistoricalWorkspacePanel.tsx; frontend/src/api/replacement.ts",DQ-P1-MAPUI-001;DQ-P1-LONGUI-001;DQ-P1-DSTATUI-001;DQ-P2-BULKFINALUI-001;DQ-P2-BULKFINALUI-002;DQ-P2-BULKFINALUI-003;DQ-P2-HISTUI-001;DQ-P2-HISTUI-002;DQ-P2-REPLUI-001;DQ-P2-REPLUI-002,reports/gates/PHASE_2_GATE_REPORT.md,"The Korean UI displays exact batch-finalization, historical source/revision, and paired-replacement evidence in addition to Mapping, Long, and data review; Golden user acceptance remains incomplete.",2026-08-16
ARC-014,IN_PROGRESS,"backend/app/domain/ai_mapping.py; backend/app/application/ai_mapping_candidate.py; backend/app/application/mapping_workspace.py; frontend/src/MappingWorkspacePanel.tsx; docs/adr/0003-offline-ai-mapping-candidate-boundary.md",DQ-P1-AIMAP-001;DQ-P1-AIMAP-002;DQ-P1-AIMAP-003;DQ-P1-AIMAP-008;DQ-P1-MAPUI-001,reports/gates/PHASE_1_GATE_REPORT.md,"The exact-cell manual review path works with AI NOT_CALLED; provider hints remain bounded and no live adapter or measured model accuracy exists.",2026-08-15
ARC-015,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/domain/long_format.py; backend/app/domain/master_config.py; backend/app/domain/data_review.py; backend/app/application/data_review.py; backend/app/infrastructure/data_review.py",DQ-P1-MAP-005;DQ-P1-LONG-005;DQ-P1-LDB-007;DQ-P1-AIMAP-005;DQ-P1-MAPV2-007;DQ-P1-MASTER-010;DQ-P1-DSTAT-001;DQ-P1-DSTAT-002;DQ-P1-DSTAT-003,reports/gates/PHASE_1_GATE_REPORT.md,"Approved numeric Master limits are compared by deterministic code while AI, supplier judgment, and data trust remain separate; statistics and later rule engines remain unimplemented.",2026-08-15
ARC-016,IN_PROGRESS,"backend/app/domain/ai_mapping.py; backend/app/application/ai_mapping_candidate.py; backend/app/application/mapping_workspace.py",DQ-P1-AIMAP-004;DQ-P1-AIMAP-010;DQ-P1-MAPUI-001;DQ-P1-MAPUI-004,reports/gates/PHASE_1_GATE_REPORT.md,"Manual and approved Mapping Preview both run with AI NOT_CALLED; live provider failure acceptance remains unverified.",2026-08-15
CFG-004,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/domain/master_config.py; backend/app/domain/data_review.py; backend/app/application/data_review.py; backend/app/application/data_review_workflow.py; backend/app/api/data_review.py; backend/app/infrastructure/data_review.py; frontend/src/MappingWorkspacePanel.tsx",DQ-P1-MAP-005;DQ-P1-LONG-005;DQ-P1-MAPV2-003;DQ-P1-MASTER-003;DQ-P1-MASTER-010;DQ-P1-DSTAT-001;DQ-P1-DSTAT-002;DQ-P1-DSTATUI-002,reports/gates/PHASE_1_GATE_REPORT.md,"Supplier-stated Spec remains immutable evidence while the UI separates approved-Master PASS/FAIL comparison from data trust; actual company Master and qualitative rules remain absent.",2026-08-15
CFG-011,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/application/mapping_preview.py; backend/app/domain/long_format.py; backend/app/infrastructure/long_format.py",DQ-P1-MAPV2-002,reports/gates/PHASE_1_GATE_REPORT.md,"Mapping schema v2 preserves exact source cells for part name, production date, and current/cumulative shipment quantities; actual required-field configuration and Golden acceptance remain incomplete.",2026-08-15
ING-008,IN_PROGRESS,"backend/app/application/mapping_preview.py; backend/app/application/store_scan_mapping.py; scripts/build_korean_oqc_samples.py",DQ-P1-MAP-004;DQ-P1-ROUTE-005;DQ-P1-AIMAP-007,reports/gates/PHASE_1_GATE_REPORT.md,"Five Korean synthetic OQC scenarios expose reuse/change/ambiguity/error structures; full target classification is not implemented.",2026-08-15
ING-009,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/application/mapping_preview.py; backend/app/application/store_scan_mapping.py; backend/app/application/mapping_workspace.py; backend/app/application/mapping_registration.py; backend/app/api/mapping.py; frontend/src/MappingWorkspacePanel.tsx; backend/app/application/ai_mapping_candidate.py",DQ-P1-MAP-001;DQ-P1-ROUTE-003;DQ-P1-AIMAP-002;DQ-P1-MAPUI-001;DQ-P1-MAPUI-005,reports/gates/PHASE_1_GATE_REPORT.md,"The Korean UI persists a server-validated first Mapping Draft from explicit exact-cell role selections; later revision editing remains incomplete.",2026-08-15
ING-010,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/application/mapping_preview.py; backend/app/application/mapping_template_commands.py; backend/app/application/mapping_registration.py; backend/app/api/mapping.py; backend/app/infrastructure/mapping_templates.py; frontend/src/MappingWorkspacePanel.tsx; backend/app/domain/ai_mapping.py",DQ-P1-MAP-001;DQ-P1-MAP-011;DQ-P1-MAP-013;DQ-P1-ROUTE-003;DQ-P1-AIMAP-006;DQ-P1-MAPUI-005;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007;DQ-P1-MAPUI-009,reports/gates/PHASE_1_GATE_REPORT.md,"The local UI requires explicit Draft, Reviewer, and Admin actions and rejects direct or forged approval; Golden user confirmation remains incomplete.",2026-08-15
ING-011,IN_PROGRESS,"backend/app/application/mapping_preview.py; backend/app/application/mapping_workspace.py; backend/app/application/mapping_registration.py; backend/app/infrastructure/mapping_templates.py; backend/app/infrastructure/file_store/original.py; backend/app/api/mapping.py; backend/app/application/store_scan_mapping.py; backend/app/application/long_persistence.py; frontend/src/MappingWorkspacePanel.tsx; backend/tests/test_korean_oqc_data_engine.py",DQ-P1-MAP-003;DQ-P1-MAP-008;DQ-P1-MAP-010;DQ-P1-MAP-012;DQ-P1-ROUTE-003;DQ-P1-ROUTE-007;DQ-P1-ROUTE-009;DQ-P1-LDB-001;DQ-P1-LDB-003;DQ-P1-LDB-004;DQ-P1-KOQC-002;DQ-P1-MAPV2-001;DQ-P1-MAPV2-004;DQ-P1-MAPUI-002;DQ-P1-MAPUI-004;DQ-P1-MAPUI-007,reports/gates/PHASE_1_GATE_REPORT.md,"Admin approval reloads a fresh persistent catalog and produces the exact same-Receipt UI Preview; real representative acceptance remains incomplete.",2026-08-15
ING-012,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/application/mapping_template_commands.py; backend/app/application/mapping_registration.py; backend/app/api/mapping.py; backend/app/infrastructure/mapping_templates.py; frontend/src/MappingWorkspacePanel.tsx; backend/migrations/versions/0002_persist_mapping_templates.py",DQ-P1-MAP-002;DQ-P1-MAP-010;DQ-P1-MAP-011;DQ-P1-MAP-012;DQ-P1-MAP-014;DQ-P1-MAP-015;DQ-P1-MAPUI-005;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007,reports/gates/PHASE_1_GATE_REPORT.md,"Immutable revision creation, separate review and approval, effectivity, CAS, and Audit now have a local UI command path; later revision editing and production authentication remain incomplete.",2026-08-15
ING-015,IN_PROGRESS,"backend/app/application/mapping_preview.py; backend/app/application/long_candidate.py; backend/app/application/bulk_import.py; backend/app/domain/bulk_import.py; frontend/src/BulkWorkspacePanel.tsx",DQ-P1-MAP-004;DQ-P1-LONG-004;DQ-P1-KOQC-004;DQ-P2-BULK-003;DQ-P2-BULK-007;DQ-P2-BULKUI-002,reports/gates/PHASE_2_GATE_REPORT.md,"Bulk review separates bounded item, spec, method, sample, judgment, shipment, date, revision, part, and structure differences; actual Golden classification remains incomplete.",2026-08-15
ING-018,IN_PROGRESS,"backend/app/application/mapping_preview.py; backend/app/application/mapping_workspace.py; backend/app/application/bulk_import.py; backend/app/api/bulk.py; frontend/src/BulkWorkspacePanel.tsx",DQ-P1-MAP-004;DQ-P1-ROUTE-005;DQ-P1-ROUTE-006;DQ-P1-AIMAP-003;DQ-P1-AIMAP-007;DQ-P1-KOQC-003;DQ-P1-MAPUI-001;DQ-P1-MAPUI-008;DQ-P2-BULK-002;DQ-P2-BULK-003,reports/gates/PHASE_2_GATE_REPORT.md,"Bulk reuses only an approved exact Mapping fingerprint; changed or missing layouts remain review-required and never force the old Template.",2026-08-15
ING-019,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/application/mapping_preview.py; backend/app/application/store_scan_mapping.py; backend/app/domain/ai_mapping.py",DQ-P1-MAP-004;DQ-P1-ROUTE-005;DQ-P1-AIMAP-009,reports/gates/PHASE_1_GATE_REPORT.md,"AI confidence is display-only and partial/unresolved/warning-only results remain human-review holds; no auto-approval threshold exists.",2026-08-15
ING-024,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/application/long_workflow.py; backend/app/api/long.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/domain/ai_mapping.py; backend/app/domain/master_config.py; backend/app/infrastructure/master_config.py; frontend/src/MappingWorkspacePanel.tsx; frontend/src/ConfigurationWorkspacePanel.tsx",DQ-P1-MAP-008;DQ-P1-LONG-001;DQ-P1-LONG-003;DQ-P1-AIMAP-002;DQ-P1-MASTER-001;DQ-P1-MASTER-006;DQ-P1-LONGUI-002;DQ-P1-CFGUI-009,reports/gates/PHASE_1_GATE_REPORT.md,"User-approved supplier-scoped exact row bindings persist, reload after restart, and make matching Long rows loadable; fuzzy or automatic binding and Golden acceptance remain incomplete.",2026-08-15
ING-025,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/application/ai_mapping_candidate.py; backend/app/domain/master_config.py; backend/app/infrastructure/master_config.py",DQ-P1-MAP-006;DQ-P1-LONG-001;DQ-P1-LONG-003;DQ-P1-AIMAP-003;DQ-P1-MAPV2-003;DQ-P1-MAPV2-006;DQ-P1-MASTER-006,reports/gates/PHASE_1_GATE_REPORT.md,"Method, unit, point, location, cavity, and source-row evidence remain distinct and exact versioned bindings do not auto-merge same-name rows.",2026-08-15
ING-020,IN_PROGRESS,"backend/app/domain/mapping.py; backend/app/domain/long_format.py; backend/app/application/long_candidate.py",DQ-P1-LONG-001;DQ-P1-LONG-004;DQ-P1-MAPV2-002,reports/gates/PHASE_1_GATE_REPORT.md,"Internal workbook model, part name/number, production date, shipment, and revision evidence is preserved; full canonical identification and Golden acceptance remain incomplete.",2026-08-15
ING-021,IN_PROGRESS,backend/app/application/long_candidate.py,DQ-P1-LONG-004,reports/gates/PHASE_1_GATE_REPORT.md,"Receipt model/LOT candidates are auxiliary and never override internal workbook evidence; mail-subject integration remains Phase 5.",2026-08-15
ING-022,IN_PROGRESS,backend/app/application/long_candidate.py,DQ-P1-LONG-004,reports/gates/PHASE_1_GATE_REPORT.md,"Internal MODEL/LOT versus preserved candidate conflicts are shown exactly and globally held; mail-subject evidence remains deferred.",2026-08-15
ING-028,IN_PROGRESS,"backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/domain/data_review.py; backend/app/infrastructure/data_review.py",DQ-P1-LONG-005;DQ-P1-LDB-007;DQ-P1-MAPV2-006;DQ-P1-MAPV2-007;DQ-P1-DSTAT-005,reports/gates/PHASE_1_GATE_REPORT.md,"Missing, whitespace, alias, or unequal source units prevent evaluation and VALID without inference or conversion; configured conversion itself remains unimplemented.",2026-08-15
ING-044,IN_PROGRESS,"backend/app/application/long_candidate.py; backend/app/application/bulk_import.py; backend/app/domain/bulk_import.py",DQ-P1-LONG-004;DQ-P1-LDB-007;DQ-P2-BULK-005;DQ-P2-BULK-007,reports/gates/PHASE_2_GATE_REPORT.md,"Model, LOT, date, and revision conflicts stay typed review holds and are never selected implicitly; complete company conflict policy remains input-dependent.",2026-08-15
ING-045,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/application/bulk_finalization.py; backend/app/api/bulk_finalization.py; frontend/src/HistoricalWorkspacePanel.tsx",DQ-P1-LONG-002;DQ-P1-LONG-003;DQ-P2-BULK-005;DQ-P2-BULKFINAL-003,reports/gates/PHASE_2_GATE_REPORT.md,"Held and exceptional files remain excluded with proof while the immutable eligible sibling set can be materialized PENDING/HELD in one command.",2026-08-16
CFG-001,IN_PROGRESS,"backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/infrastructure/long_format.py; backend/app/domain/master_config.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/infrastructure/master_config.py; frontend/src/ConfigurationWorkspacePanel.tsx",DQ-P1-LONG-004;DQ-P1-LONG-006;DQ-P1-LDB-005;DQ-P1-LDB-007;DQ-P1-MASTER-001;DQ-P1-CFGUI-001;DQ-P1-CFGUI-002,reports/gates/PHASE_1_GATE_REPORT.md,"The Korean setup UI creates and lists project-scoped canonical Model, ModelPart, Item, and Supplier identities without defaults; separate physical databases and actual company Master content remain external.",2026-08-15
CFG-002,IN_PROGRESS,"backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/infrastructure/long_format.py; backend/app/domain/master_config.py; backend/app/application/master_config_commands.py; backend/app/infrastructure/master_config.py",DQ-P1-LONG-001;DQ-P1-LONG-003;DQ-P1-LDB-001;DQ-P1-LDB-003;DQ-P1-MASTER-001;DQ-P1-MASTER-006,reports/gates/PHASE_1_GATE_REPORT.md,"Project-scoped Model to ModelPart to InspectionItem hierarchy and versioned exact row binding persist; actual company Master identities remain input-dependent.",2026-08-15
